b508b3e08263e04ccfbee888d680ce1e29feae16b44406f4f81f095d02e8d8a7
"FileVersion	""2.0"""
"EcoStruxureOperatorTerminalExpert	""3.5.100"""
"Date	Time	AIR_OUT_1	QF	AIR_OUT_2	QF	AIR_OUT_3	QF	AIR_OUT_4	QF	BATCH_NAME	QF	H_COOLING_4	QF	H_DRY_1	QF	H_DRY_2	QF	H_DRY_3	QF	M_COOLING_4	QF	M_DRY_1	QF	M_DRY_2	QF	M_DRY_3	QF	TEMP_AIR_IN	QF	TEMP_PRODUCT_1	QF	TEMP_PRODUCT_2	QF	TEMP_PRODUCT_3	QF	T_CLEAN_ON_1	QF	T_CLEAN_ON_2	QF	T_CLEAN_ON_3	QF	T_CLEAN_ON_4	QF	T_PAUSE_CLEAN_1	QF	T_PAUSE_CLEAN_2	QF	T_PAUSE_CLEAN_3	QF	T_PAUSE_CLEAN_4	QF"
"06/23/2025	""11:53:18""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.700000762939	0	32.200000762939	0	31.713998794556	0	31.852798461914	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""11:54:18""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.700000762939	0	32.200000762939	0	31.713998794556	0	31.852798461914	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""11:55:18""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.800001144409	0	32.200000762939	0	31.713998794556	0	31.95359992981	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""11:56:18""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.800001144409	0	32.299999237061	0	31.713998794556	0	31.95359992981	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""11:57:27""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.800001144409	0	32.299999237061	0	31.713998794556	0	31.95359992981	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""11:58:27""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.800001144409	0	32.299999237061	0	31.815000534058	0	32.054401397705	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""11:59:27""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.89999961853	0	32.299999237061	0	31.815000534058	0	32.054401397705	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:00:27""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.89999961853	0	32.400001525879	0	31.815000534058	0	32.054401397705	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:01:27""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.89999961853	0	32.400001525879	0	31.815000534058	0	32.054401397705	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:02:27""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	31.89999961853	0	32.400001525879	0	31.915998458862	0	32.054401397705	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:03:27""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32	0	32.400001525879	0	31.915998458862	0	32.155200958252	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:05:20""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32	0	32.5	0	31.915998458862	0	32.155200958252	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:06:20""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32	0	32.5	0	31.915998458862	0	32.155200958252	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:07:20""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.5	0	32.016998291016	0	32.256000518799	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:08:20""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.5	0	32.016998291016	0	32.256000518799	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
"06/23/2025	""12:09:20""	50	0	45	0	40	0	35	0	""BATCH_TEST""	0	0	0	0	0	0	0	0	0	15	0	30	0	15	0	30	0	32.099998474121	0	32.600002288818	0	32.016998291016	0	32.256000518799	0	15	0	20	0	20	0	25	0	10	0	10	0	10	0	10	0"
