9c0cd77cea17017c125bec94a15d635034f1f6dfebc2a81dc2c71d0d77fb6bb3
FileVersion	"2.0"
EcoStruxureOperatorTerminalExpert	"3.5.100"
Date	Time	BATCH_NAME	QF	TEMP_AIR_IN	QF	TEMP_PRODUCT_1	QF	TEMP_PRODUCT_2	QF	TEMP_PRODUCT_3	QF	USER	QF
"30/03/26"	"15:39:02"	"26001"	0	44.299999237061	0	35.771541595459	0	35.105316162109	0	32.665328979492	0	"ADMIN"	0
"30/03/26"	"16:39:03"	"26001"	0	43.399997711182	0	37.975952148438	0	36.810432434082	0	36.673347473145	0	""	0
"30/03/26"	"17:39:03"	"26001"	0	45.699996948242	0	39.579158782959	0	38.014041900635	0	37.274547576904	0	""	0
"30/03/26"	"18:39:04"	"26001"	0	44.299999237061	0	40.180362701416	0	38.515548706055	0	37.675350189209	0	""	0
"30/03/26"	"19:39:04"	"26001"	0	45.299999237061	0	41.783569335938	0	40.02006149292	0	38.076152801514	0	""	0
"31/03/26"	"07:47:37"	""	0	43.5	0	42.885772705078	0	42.527584075928	0	44.088176727295	0	"ADMIN"	0
"31/03/26"	"08:47:37"	""	0	43.799999237061	0	44.689376831055	0	44.734203338623	0	44.188377380371	0	"ADMIN"	0
"31/03/26"	"09:47:38"	""	0	49.099998474121	0	47.895793914795	0	47.743232727051	0	48.09619140625	0	"ADMIN"	0
"31/03/26"	"10:47:38"	""	0	46	0	47.595191955566	0	47.442325592041	0	46.292583465576	0	"ADMIN"	0
"31/03/26"	"11:47:39"	""	0	45.799999237061	0	47.595191955566	0	47.241725921631	0	45.991985321045	0	"ADMIN"	0
"31/03/26"	"12:47:39"	""	0	45.599998474121	0	46.893787384033	0	46.940822601318	0	45.691383361816	0	"ADMIN"	0
"31/03/26"	"13:47:40"	""	0	45.899997711182	0	47.194389343262	0	47.141422271729	0	46.092185974121	0	"ADMIN"	0
"31/03/26"	"14:47:40"	""	0	46.299999237061	0	47.194389343262	0	47.442325592041	0	46.492984771729	0	"ADMIN"	0
"31/03/26"	"15:47:41"	""	0	49.099998474121	0	48.897796630859	0	48.846538543701	0	49.098197937012	0	"ADMIN"	0
"31/03/26"	"16:47:41"	""	0	43.900001525879	0	44.989978790283	0	44.834503173828	0	43.987976074219	0	"ADMIN"	0
"31/03/26"	"17:47:42"	""	0	44.5	0	45.59118270874	0	45.536609649658	0	44.789581298828	0	"ADMIN"	0
"31/03/26"	"18:47:42"	""	0	45	0	46.1923828125	0	46.138416290283	0	45.290580749512	0	"ADMIN"	0
"31/03/26"	"19:47:43"	""	0	45.400001525879	0	46.893787384033	0	46.740222930908	0	41.382766723633	0	"ADMIN"	0
"31/03/26"	"20:47:43"	""	0	40.599998474121	0	34.569137573242	0	36.108322143555	0	26.452905654907	0	""	0
"31/03/26"	"21:47:44"	""	0	36.799999237061	0	31.362724304199	0	32.196590423584	0	25.851703643799	0	""	0
"31/03/26"	"22:47:44"	""	0	33.599998474121	0	29.158317565918	0	29.588764190674	0	24.849699020386	0	""	0
"31/03/26"	"23:47:45"	""	0	31	0	27.655309677124	0	27.983951568604	0	24.248497009277	0	""	0
"01/04/26"	"00:47:45"	""	0	29	0	26.452905654907	0	26.880641937256	0	23.747495651245	0	""	0
"01/04/26"	"01:47:46"	""	0	27.5	0	25.55110168457	0	25.977933883667	0	23.34669303894	0	""	0
"01/04/26"	"02:47:46"	""	0	26.199998855591	0	24.849699020386	0	25.275825500488	0	22.945890426636	0	""	0
